Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S32734975,Eastern Wood-Pewee,Contopus virens,16615,1,US-VA,Hampton,L718718,Sandy Bottom Nature Park,37.0645778,-76.4292026,2016-09-09,08:00 AM,eBird - Traveling Count,180,1,4.828,,2
S71404194,Eastern Wood-Pewee,Contopus virens,16615,1,US-WV,Hardy,L11884684,George Washington,38.968814,-78.642117,2020-07-10,09:11 PM,eBird - Stationary Count,60,1,,,1
S71404235,Eastern Wood-Pewee,Contopus virens,16615,1,US-WV,Hardy,L11884694,George Washington,38.993182,-78.625511,2020-07-11,11:21 AM,eBird - Traveling Count,180,1,8.047,,1
S71404288,Eastern Wood-Pewee,Contopus virens,16615,2,US-WV,Hardy,L11884701,George Washington,38.961147,-78.736397,2020-07-12,06:35 AM,eBird - Stationary Count,60,1,,,1
S137020139,Eastern Wood-Pewee,Contopus virens,16615,1,US-VA,Henrico,L24216934,"8951 Deep Bottom Rd, Henrico US-VA 37.41958, -77.31325",37.419584,-77.313247,2023-05-11,06:13 AM,eBird - Stationary Count,8,1,,,1
S136632880,Eastern Wood-Pewee,Contopus virens,16615,1,US-VA,Henrico,L418431,Deep Bottom Park,37.4102042,-77.305727,2023-05-08,06:24 AM,eBird - Traveling Count,275,1,3.219,,2,,,"PROW nest box check, paddling up and back down Four Mile Creek."
S137080970,Eastern Wood-Pewee,Contopus virens,16615,2,US-VA,Henrico,L24224638,Fourmile Creek,37.412057,-77.298551,2023-05-11,07:20 AM,eBird - Traveling Count,1,1,4.023,,4
S37829109,Eastern Wood-Pewee,Contopus virens,16615,2,US-VA,Isle of Wight,L6025053,"8501 Wrenns Mill Rd, Smithfield US-VA (37.0230,-76.6717)",37.023045,-76.671717,2017-06-27,09:00 AM,eBird - Traveling Count,60,1,.322,,1
S45858856,Eastern Wood-Pewee,Contopus virens,16615,3,US-VA,James City,L718829,York River State Park,37.414,-76.7147,2018-05-20,08:07 AM,eBird - Traveling Count,207,1,5.472,,2
S32778141,Eastern Wood-Pewee,Contopus virens,16615,1,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2016-05-05,10:00 AM,eBird - Traveling Count,30,1,.25,,1,,,Working the piece of wooded area behind school bus lot. Nice warbler activity
S37230112,Eastern Wood-Pewee,Contopus virens,16615,1,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2017-05-29,07:01 PM,eBird - Traveling Count,120,1,.966,,1
S45892455,Eastern Wood-Pewee,Contopus virens,16615,1,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2018-05-21,10:21 AM,eBird - Traveling Count,10,1,.161,,1
S45821817,Eastern Wood-Pewee,Contopus virens,16615,1,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2018-05-19,08:04 AM,eBird - Traveling Count,170,1,7.242,,1
S68587494,Eastern Wood-Pewee,Contopus virens,16615,1,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2020-05-08,06:13 AM,eBird - Traveling Count,128,1,3.944,,1
S69074567,Eastern Wood-Pewee,Contopus virens,16615,3,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2020-05-15,06:11 AM,eBird - Traveling Count,117,1,3.494,,1,,,,234861551
S109500721,Eastern Wood-Pewee,Contopus virens,16615,4,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2022-05-09,01:26 PM,eBird - Traveling Count,232,1,5.633,,1,,,Windy conditions seemed to push a lot of birds down out of canopy.,446362301 446362311
S109618601,Eastern Wood-Pewee,Contopus virens,16615,2,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2022-05-10,06:22 AM,eBird - Traveling Count,65,1,1.77,,2
S109797205,Eastern Wood-Pewee,Contopus virens,16615,1,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2022-05-12,11:56 AM,eBird - Traveling Count,195,1,5.15,,1,,,"62, light rain on and off. The last .5 miles it began raining hard and I hoofed it back to the car pretty hastily, but before that the entire outing yielded a bevy of activity."
S109933493,Eastern Wood-Pewee,Contopus virens,16615,1,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2022-05-13,05:02 PM,eBird - Traveling Count,124,1,4.667,,1,,,"75, sunny. Almost eerily quiet compared to yesterday, though a pretty decent variety of species. 4 BTBW compared to 18 yesterday; 6 NOPA vs 23 yesterday; 13 YRWA vs 28, on what was nearly the same circuit."
S110091760,Eastern Wood-Pewee,Contopus virens,16615,2,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2022-05-14,12:48 PM,eBird - Traveling Count,185,1,5.23,,1,,,"74, sunny and humid."
S110223313,Eastern Wood-Pewee,Contopus virens,16615,4,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2022-05-15,06:05 AM,eBird - Traveling Count,270,1,8.851,,1
S111439548,Eastern Wood-Pewee,Contopus virens,16615,1,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2022-05-27,04:30 PM,eBird - Traveling Count,99,1,3.38,,1,,,Enjoyed a run in with a fox on Boundary rd.
S137395168,Eastern Wood-Pewee,Contopus virens,16615,1,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2023-05-13,06:24 AM,eBird - Traveling Count,261,1,6.84,,1
S150271102,Eastern Wood-Pewee,Contopus virens,16615,2,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2023-09-19,06:47 AM,eBird - Traveling Count,210,1,.209,,2,,,"&#x1f32b;☀️  Mist - clear sky  Temperature: 58 - 70°F  Wind: Light breeze  Wind Direction: SW - N  Cloud Cover: 0%  Humidity: 63 - 88%  Sunrise: 6:51am  Weather generated by <a href=""https://raincrow.netlify.app/"">RainCrow</a>    Spent much of the morning working the NW edge of the field across from Warwick HS, which was easily the most productive section of the excursion."
S36585103,Eastern Wood-Pewee,Contopus virens,16615,1,US-VA,Newport News,L718631,Newport News Park,37.1802,-76.5476,2017-05-06,07:04 AM,eBird - Traveling Count,210,1,6.437,,1
S37849533,Eastern Wood-Pewee,Contopus virens,16615,3,US-VA,Newport News,L718631,Newport News Park,37.1802,-76.5476,2017-06-28,08:03 AM,eBird - Traveling Count,240,1,5.633,,1
S45629171,Eastern Wood-Pewee,Contopus virens,16615,3,US-VA,Newport News,L718631,Newport News Park,37.1802,-76.5476,2018-05-13,08:23 AM,eBird - Traveling Count,60,1,2.414,,1
S69245875,Eastern Wood-Pewee,Contopus virens,16615,2,US-VA,Newport News,L718631,Newport News Park,37.1802,-76.5476,2020-05-16,11:48 AM,eBird - Casual Observation,,0,,,1
S108720829,Eastern Wood-Pewee,Contopus virens,16615,2,US-VA,Newport News,L718631,Newport News Park,37.1802,-76.5476,2022-05-02,06:30 AM,eBird - Traveling Count,250,1,6.489,,2
S137226482,Eastern Wood-Pewee,Contopus virens,16615,11,US-VA,Newport News,L718631,Newport News Park,37.1802,-76.5476,2023-05-12,06:21 AM,eBird - Traveling Count,355,1,10.944,,1,,,"Really quite a few summer tanagers. Good counts of other species as well, though a notable paucity of certain warblers, thrushes, catbirds. 1 eastern mud turtle, and 1 good sized yellow-bellied slider ovipositing in a hole she’d dug out just to the side of the bike path. Two ~3 foot rat snakes."
S37327240,Eastern Wood-Pewee,Contopus virens,16615,1,US-VA,Newport News,L5257627,Riverfront Park,37.0284941,-76.4644991,2017-06-02,06:51 AM,eBird - Traveling Count,45,1,.322,,1
S37151223,Eastern Wood-Pewee,Contopus virens,16615,1,US-VA,Newport News,L5042910,Stony Run Athletic Complex,37.1413538,-76.539613,2017-05-26,06:39 AM,eBird - Traveling Count,70,1,.644,,1
S37808064,Eastern Wood-Pewee,Contopus virens,16615,2,US-VA,Newport News,L5042910,Stony Run Athletic Complex,37.1413538,-76.539613,2017-06-25,06:54 PM,eBird - Stationary Count,30,1,,,1
S37881354,Eastern Wood-Pewee,Contopus virens,16615,2,US-VA,Newport News,L5042910,Stony Run Athletic Complex,37.1413538,-76.539613,2017-06-30,06:15 AM,eBird - Traveling Count,120,1,.805,,1
S68857984,Eastern Wood-Pewee,Contopus virens,16615,2,US-VA,Newport News,L7349612,Victory Landing Park,36.9760468,-76.434685,2020-05-11,06:05 AM,eBird - Traveling Count,134,1,2.701,,1,,,"Rather quiet and uneventful first hour or so, but by 7:10 the live oaks were brimming with activity.",233341001
S59798404,Eastern Wood-Pewee,Contopus virens,16615,2,US-VA,Northampton,L1313929,Kiptopeke SP--Raptor Trail,37.1730338,-75.9738278,2019-09-14,01:02 PM,eBird - Traveling Count,120,1,4.023,,1
S111060319,Eastern Wood-Pewee,Contopus virens,16615,1,US-VA,Northampton,L718546,Kiptopeke State Park,37.1691146,-75.9803496,2022-05-22,11:19 AM,eBird - Traveling Count,180,1,.805,,1
S111060248,Eastern Wood-Pewee,Contopus virens,16615,1,US-VA,Northampton,L718546,Kiptopeke State Park,37.1691146,-75.9803496,2022-05-23,05:39 AM,eBird - Traveling Count,112,1,.966,,1
S32912400,Eastern Wood-Pewee,Contopus virens,16615,2,US-VA,Page,L159390,**Shenandoah National Park,38.5006,-78.45,2015-05-26,09:30 AM,eBird - Traveling Count,150,1,6.437,,3
S32912404,Eastern Wood-Pewee,Contopus virens,16615,2,US-VA,Page,L159390,**Shenandoah National Park,38.5006,-78.45,2015-05-27,09:00 AM,eBird - Traveling Count,150,1,6.437,,1
S70910466,Eastern Wood-Pewee,Contopus virens,16615,1,US-WV,Pendleton,L11790199,"5339–5499 Snowy Mountain Rd, Circleville US-WV 38.57634, -79.51313",38.57634,-79.513129,2020-06-27,03:42 PM,eBird - Stationary Count,15,0,,,1
S71028921,Eastern Wood-Pewee,Contopus virens,16615,2,US-WV,Pendleton,L5755361,George Washington NF--High Knob Trail,38.5795891,-79.1691045,2020-07-01,10:00 AM,eBird - Traveling Count,150,1,2.575,,2
S70910156,Eastern Wood-Pewee,Contopus virens,16615,1,US-WV,Randolph,L11790144,"Monongahela National Forest, Harman US-WV 38.73880, -79.60284",38.738802,-79.602838,2020-06-26,08:05 PM,eBird - Traveling Count,120,1,3.219,,1
S71028867,Eastern Wood-Pewee,Contopus virens,16615,4,US-VA,Rockingham,L11810940,George Washington,38.606529,-78.958175,2020-06-30,12:35 PM,eBird - Traveling Count,180,1,5.633,,2
S71028885,Eastern Wood-Pewee,Contopus virens,16615,1,US-VA,Rockingham,L11810941,George Washington,38.426321,-79.104125,2020-06-30,06:01 PM,eBird - Stationary Count,25,1,,,1
S71028899,Eastern Wood-Pewee,Contopus virens,16615,3,US-VA,Rockingham,L11810945,George Washington,38.42645,-79.103482,2020-07-01,06:51 AM,eBird - Traveling Count,35,1,.161,,1
S71064269,Eastern Wood-Pewee,Contopus virens,16615,2,US-VA,Rockingham,L11817012,George Washington,38.427048,-79.10435,2020-07-02,06:48 AM,eBird - Traveling Count,60,1,.805,,1
S136947261,Eastern Wood-Pewee,Contopus virens,16615,2,US-VA,Suffolk,L655259,Great Dismal Swamp NWR--Washington Ditch,36.6356416,-76.5142822,2023-05-10,06:33 AM,eBird - Traveling Count,215,1,3.219,,2
S138474896,Eastern Wood-Pewee,Contopus virens,16615,2,US-VA,Surry,L24490758,Ellerslie Dr.,37.118575,-76.700228,2023-05-20,06:40 AM,eBird - Traveling Count,33,1,1.207,,1
S138513661,Eastern Wood-Pewee,Contopus virens,16615,3,US-VA,Surry,L718515,Hog Island WMA,37.1809086,-76.6829395,2023-05-20,07:43 AM,eBird - Traveling Count,212,1,7.242,,1
S138522405,Eastern Wood-Pewee,Contopus virens,16615,1,US-VA,Surry,L764015,Hog Island WMA--Carlisle Tract,37.1413666,-76.6860294,2023-05-20,11:28 AM,eBird - Traveling Count,28,1,2.304,,1
S32888541,Eastern Wood-Pewee,Contopus virens,16615,1,US-VA,Sussex,L555556,Piney Grove Preserve,36.9750097,-77.064178,2016-08-23,08:00 AM,eBird - Traveling Count,150,1,3.219,,1
S114604223,Eastern Wood-Pewee,Contopus virens,16615,1,US-NY,Warren,L7515140,13th Lake Rd. & Peaked Mtn. Trail,43.7187605,-74.1186404,2022-07-07,09:00 AM,eBird - Traveling Count,360,1,6.92,,2,,,Out and back to Peaked Mt. (8.6 mi total)
S45629188,Eastern Wood-Pewee,Contopus virens,16615,6,US-VA,York,L5291145,Newport News Park--Swamp Bridge (York Co.),37.1886727,-76.5259512,2018-05-13,09:11 AM,eBird - Traveling Count,180,1,4.828,,1
S157369182,Cuban Pewee,Contopus caribaeus,16618,2,CU-07,,L28487588,El Potrero,22.08773,-79.607978,2023-12-24,03:15 PM,eBird - Traveling Count,45,1,.483,,3,,,El Potrero. Perhaps the single best bit of stationary passerine birding we’ve ever experienced?
S157641731,Cuban Pewee,Contopus caribaeus,16618,1,CU-05,,L28502163,"Guanayara, Topes de Collantes",21.959358,-80.042124,2023-12-22,02:40 PM,eBird - Traveling Count,180,1,6.437,,2,,,Hike with family at Topes de collantes
S157511260,Cuban Pewee,Contopus caribaeus,16618,1,CU-07,,L6134619,PN Topes de Collantes--Los Helechos Hotel,21.9113498,-80.0190711,2023-12-23,06:44 AM,eBird - Traveling Count,180,1,6.437,,2,,,Early morning at Topes de collantes
S156828838,Cuban Pewee,Contopus caribaeus,16618,1,CU-07,,L352212,Playa Ancon,21.7287194,-79.9882694,2023-12-21,02:05 PM,eBird - Traveling Count,120,1,2.012,,1
S157511262,Cuban Pewee,Contopus caribaeus,16618,2,CU-07,,L28502090,Presa de Pozas,22.097611,-79.6046,2023-12-25,07:21 AM,eBird - Traveling Count,180,1,6.437,,2,,,Early AM to lake north of the highway
S37040186,Acadian Flycatcher,Empidonax virescens,16641,1,US-VA,Bedford,L718653,Peaks of Otter Recreation Area,37.4453,-79.6098,2017-05-20,01:00 PM,eBird - Traveling Count,140,1,2.575,,1,,,This checklist covers birds seen on the route to the top of Sharp Top Mountain. The DEJU was seen at the summit. 
S37043603,Acadian Flycatcher,Empidonax virescens,16641,3,US-VA,Botetourt,L2118736,Warbler Road--FR 812 (Parkers Gap to Sunset Field),37.5204932,-79.522617,2017-05-21,07:15 AM,eBird - Traveling Count,150,1,4.828,,1
S137099111,Acadian Flycatcher,Empidonax virescens,16641,2,US-VA,Charles City,L24227972,Chickahominy WMA,37.33981,-76.915373,2023-05-11,12:46 PM,eBird - Traveling Count,55,1,1.046,,1
S137108870,Acadian Flycatcher,Empidonax virescens,16641,2,US-VA,Charles City,L24229836,Chickahominy WMA 2,37.326061,-76.89823,2023-05-11,01:57 PM,eBird - Traveling Count,58,1,1.609,,1
S71404235,Acadian Flycatcher,Empidonax virescens,16641,1,US-WV,Hardy,L11884694,George Washington,38.993182,-78.625511,2020-07-11,11:21 AM,eBird - Traveling Count,180,1,8.047,,1
S92326457,Acadian Flycatcher,Empidonax virescens,16641,1,US-NC,Haywood,L15902736,"Great Smoky Mountains National Park, Waynesville US-NC 35.63323, -83.08476",35.633226,-83.084759,2021-07-25,11:52 AM,eBird - Casual Observation,,0,,,1
S137019159,Acadian Flycatcher,Empidonax virescens,16641,1,US-VA,Henrico,L24216819,"Kingsland Rd, Henrico US-VA 37.42197, -77.30920",37.421972,-77.309198,2023-05-11,06:06 AM,eBird - Stationary Count,3,1,,,1
S37829109,Acadian Flycatcher,Empidonax virescens,16641,1,US-VA,Isle of Wight,L6025053,"8501 Wrenns Mill Rd, Smithfield US-VA (37.0230,-76.6717)",37.023045,-76.671717,2017-06-27,09:00 AM,eBird - Traveling Count,60,1,.322,,1
S32885394,Acadian Flycatcher,Empidonax virescens,16641,1,US-VA,James City,L718829,York River State Park,37.414,-76.7147,2015-05-03,07:00 AM,eBird - Traveling Count,270,1,6.437,,2
S45858856,Acadian Flycatcher,Empidonax virescens,16641,5,US-VA,James City,L718829,York River State Park,37.414,-76.7147,2018-05-20,08:07 AM,eBird - Traveling Count,207,1,5.472,,2
S71064313,Acadian Flycatcher,Empidonax virescens,16641,4,US-VA,Nelson,L5615855,Blue Ridge Parkway--White Rock Gap/White Rock Falls Trail,37.8962341,-79.0452109,2020-07-02,11:10 AM,eBird - Traveling Count,250,1,.025,,2
S109855830,Acadian Flycatcher,Empidonax virescens,16641,1,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2022-05-13,07:54 AM,eBird - Traveling Count,32,1,.402,,1
S36682320,Acadian Flycatcher,Empidonax virescens,16641,3,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2017-05-08,04:15 PM,eBird - Traveling Count,30,1,.805,,2
S45431084,Acadian Flycatcher,Empidonax virescens,16641,2,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2018-05-07,05:00 PM,eBird - Casual Observation,,0,,,1,,,Seen/heard while running the trail
S45821817,Acadian Flycatcher,Empidonax virescens,16641,3,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2018-05-19,08:04 AM,eBird - Traveling Count,170,1,7.242,,1
S55203245,Acadian Flycatcher,Empidonax virescens,16641,1,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2019-04-21,07:45 AM,eBird - Traveling Count,33,1,6.598,,1,,Heard clearly several times. Very distinctive. FOY,"A few seen, mostly heard while running. "
S68234821,Acadian Flycatcher,Empidonax virescens,16641,1,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2020-05-02,06:46 AM,eBird - Traveling Count,135,1,3.682,,1,,,Light on warbler variety today.
S68432765,Acadian Flycatcher,Empidonax virescens,16641,1,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2020-05-05,06:21 AM,eBird - Traveling Count,117,1,3.438,,1
S68587494,Acadian Flycatcher,Empidonax virescens,16641,2,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2020-05-08,06:13 AM,eBird - Traveling Count,128,1,3.944,,1
S69074567,Acadian Flycatcher,Empidonax virescens,16641,4,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2020-05-15,06:11 AM,eBird - Traveling Count,117,1,3.494,,1
S109500721,Acadian Flycatcher,Empidonax virescens,16641,2,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2022-05-09,01:26 PM,eBird - Traveling Count,232,1,5.633,,1,,,Windy conditions seemed to push a lot of birds down out of canopy.,446370251
S109618601,Acadian Flycatcher,Empidonax virescens,16641,2,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2022-05-10,06:22 AM,eBird - Traveling Count,65,1,1.77,,2
S109797205,Acadian Flycatcher,Empidonax virescens,16641,1,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2022-05-12,11:56 AM,eBird - Traveling Count,195,1,5.15,,1,,,"62, light rain on and off. The last .5 miles it began raining hard and I hoofed it back to the car pretty hastily, but before that the entire outing yielded a bevy of activity."
S109933493,Acadian Flycatcher,Empidonax virescens,16641,2,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2022-05-13,05:02 PM,eBird - Traveling Count,124,1,4.667,,1,,,"75, sunny. Almost eerily quiet compared to yesterday, though a pretty decent variety of species. 4 BTBW compared to 18 yesterday; 6 NOPA vs 23 yesterday; 13 YRWA vs 28, on what was nearly the same circuit."
S110091760,Acadian Flycatcher,Empidonax virescens,16641,5,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2022-05-14,12:48 PM,eBird - Traveling Count,185,1,5.23,,1,,,"74, sunny and humid."
S110223313,Acadian Flycatcher,Empidonax virescens,16641,6,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2022-05-15,06:05 AM,eBird - Traveling Count,270,1,8.851,,1
S111439548,Acadian Flycatcher,Empidonax virescens,16641,3,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2022-05-27,04:30 PM,eBird - Traveling Count,99,1,3.38,,1,,,Enjoyed a run in with a fox on Boundary rd.
S137395168,Acadian Flycatcher,Empidonax virescens,16641,3,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2023-05-13,06:24 AM,eBird - Traveling Count,261,1,6.84,,1
S138432122,Acadian Flycatcher,Empidonax virescens,16641,1,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2023-05-19,06:00 PM,eBird - Traveling Count,35,1,1.609,,1,,,A relatively quiet evening.
S150271102,Acadian Flycatcher,Empidonax virescens,16641,1,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2023-09-19,06:47 AM,eBird - Traveling Count,210,1,.209,,2,,"Thought to be YBFC initially but structurally it just doesn't quite checkout, despite what seemed to be extensive yellow below.","&#x1f32b;☀️  Mist - clear sky  Temperature: 58 - 70°F  Wind: Light breeze  Wind Direction: SW - N  Cloud Cover: 0%  Humidity: 63 - 88%  Sunrise: 6:51am  Weather generated by <a href=""https://raincrow.netlify.app/"">RainCrow</a>    Spent much of the morning working the NW edge of the field across from Warwick HS, which was easily the most productive section of the excursion."
S36423481,Acadian Flycatcher,Empidonax virescens,16641,2,US-VA,Newport News,L718631,Newport News Park,37.1802,-76.5476,2017-04-30,10:04 AM,eBird - Traveling Count,150,1,5.633,,1
S36585103,Acadian Flycatcher,Empidonax virescens,16641,4,US-VA,Newport News,L718631,Newport News Park,37.1802,-76.5476,2017-05-06,07:04 AM,eBird - Traveling Count,210,1,6.437,,1
S37849533,Acadian Flycatcher,Empidonax virescens,16641,5,US-VA,Newport News,L718631,Newport News Park,37.1802,-76.5476,2017-06-28,08:03 AM,eBird - Traveling Count,240,1,5.633,,1
S69245875,Acadian Flycatcher,Empidonax virescens,16641,3,US-VA,Newport News,L718631,Newport News Park,37.1802,-76.5476,2020-05-16,11:48 AM,eBird - Casual Observation,,0,,,1
S108720829,Acadian Flycatcher,Empidonax virescens,16641,3,US-VA,Newport News,L718631,Newport News Park,37.1802,-76.5476,2022-05-02,06:30 AM,eBird - Traveling Count,250,1,6.489,,2
S137226482,Acadian Flycatcher,Empidonax virescens,16641,10,US-VA,Newport News,L718631,Newport News Park,37.1802,-76.5476,2023-05-12,06:21 AM,eBird - Traveling Count,355,1,10.944,,1,,,"Really quite a few summer tanagers. Good counts of other species as well, though a notable paucity of certain warblers, thrushes, catbirds. 1 eastern mud turtle, and 1 good sized yellow-bellied slider ovipositing in a hole she’d dug out just to the side of the bike path. Two ~3 foot rat snakes."
S68857984,Acadian Flycatcher,Empidonax virescens,16641,1,US-VA,Newport News,L7349612,Victory Landing Park,36.9760468,-76.434685,2020-05-11,06:05 AM,eBird - Traveling Count,134,1,2.701,,1,,,"Rather quiet and uneventful first hour or so, but by 7:10 the live oaks were brimming with activity."
S32912400,Acadian Flycatcher,Empidonax virescens,16641,1,US-VA,Page,L159390,**Shenandoah National Park,38.5006,-78.45,2015-05-26,09:30 AM,eBird - Traveling Count,150,1,6.437,,3
S142074285,Acadian Flycatcher,Empidonax virescens,16641,2,US-WV,Pocahontas,L25322718,"Monongahela National Forest, Marlinton US-WV 38.26362, -80.31966",38.263625,-80.319659,2023-06-19,07:26 AM,eBird - Traveling Count,186,1,12.231,,2,,,North Fork trail out from camp. Extremely active for first half.
S92650460,Acadian Flycatcher,Empidonax virescens,16641,1,US-WV,Pocahontas,L15978553,"Monongahela National Forest, Marlinton US-WV 38.28008, -80.22101",38.280075,-80.221013,2021-08-02,06:55 AM,eBird - Stationary Count,22,1,,,1
S71028867,Acadian Flycatcher,Empidonax virescens,16641,5,US-VA,Rockingham,L11810940,George Washington,38.606529,-78.958175,2020-06-30,12:35 PM,eBird - Traveling Count,180,1,5.633,,2
S71028885,Acadian Flycatcher,Empidonax virescens,16641,1,US-VA,Rockingham,L11810941,George Washington,38.426321,-79.104125,2020-06-30,06:01 PM,eBird - Stationary Count,25,1,,,1
S71064269,Acadian Flycatcher,Empidonax virescens,16641,2,US-VA,Rockingham,L11817012,George Washington,38.427048,-79.10435,2020-07-02,06:48 AM,eBird - Traveling Count,60,1,.805,,1
S136947261,Acadian Flycatcher,Empidonax virescens,16641,2,US-VA,Suffolk,L655259,Great Dismal Swamp NWR--Washington Ditch,36.6356416,-76.5142822,2023-05-10,06:33 AM,eBird - Traveling Count,215,1,3.219,,2
S138474896,Acadian Flycatcher,Empidonax virescens,16641,2,US-VA,Surry,L24490758,Ellerslie Dr.,37.118575,-76.700228,2023-05-20,06:40 AM,eBird - Traveling Count,33,1,1.207,,1
S138522405,Acadian Flycatcher,Empidonax virescens,16641,1,US-VA,Surry,L764015,Hog Island WMA--Carlisle Tract,37.1413666,-76.6860294,2023-05-20,11:28 AM,eBird - Traveling Count,28,1,2.304,,1
S38299617,Acadian Flycatcher,Empidonax virescens,16641,1,US-VA,York,L780044,Harwoods Mill Reservoir,37.148653,-76.4779329,2017-07-24,10:05 AM,eBird - Traveling Count,95,1,1.609,,1
S45629188,Acadian Flycatcher,Empidonax virescens,16641,7,US-VA,York,L5291145,Newport News Park--Swamp Bridge (York Co.),37.1886727,-76.5259512,2018-05-13,09:11 AM,eBird - Traveling Count,180,1,4.828,,1
S70910254,Alder Flycatcher,Empidonax alnorum,16642,1,US-WV,Randolph,L1258905,Spruce Knob Lake,38.7042297,-79.5899865,2020-06-27,10:56 AM,eBird - Traveling Count,100,1,1.931,,1,,"Heard repeatedly in thicket just behind the parking lot. Two part piercing, burry, fee-burr song."
S37941348,Willow Flycatcher,Empidonax traillii,16643,1,US-MA,Berkshire,L5105541,Berkshire Community College--Fields,42.4566832,-73.3175451,2017-07-03,05:40 AM,eBird - Traveling Count,90,1,.805,,1
S37112151,Least Flycatcher,Empidonax minimus,16654,1,US-MA,Berkshire,L5879524,Dirt road at end of West St.,42.4587784,-73.3565011,2015-06-28,08:00 AM,Historical,120,0,3.219,,1
S37960884,Least Flycatcher,Empidonax minimus,16654,1,US-MA,Berkshire,L6048848,Forest at the end of West St,42.459225,-73.327928,2017-07-04,06:35 AM,eBird - Traveling Count,70,1,1.609,,1
S91260602,Least Flycatcher,Empidonax minimus,16654,1,US-MA,Berkshire,L207453,"Pleasant Valley Wildlife Sanctuary, Lenox",42.39371,-73.29325,2021-07-04,10:19 AM,eBird - Traveling Count,230,1,5.633,,2
S114666512,Least Flycatcher,Empidonax minimus,16654,2,US-NY,Hamilton,L20042736,"The Adirondack Park, Blue Mountain Lake US-NY (43.8754,-74.4573)",43.875372,-74.457316,2022-07-06,01:46 PM,eBird - Stationary Count,5,1,,,1,,,Castle Rock/Chub Pond loop.
S38357985,Least Flycatcher,Empidonax minimus,16654,1,US-TX,Travis,L567534,Roy G. Guerrero Colorado River Metro Park,30.246172,-97.7049763,2017-07-28,07:22 AM,eBird - Traveling Count,120,1,4.828,,1
S54599106,Gray Flycatcher,Empidonax wrightii,16656,2,US-AZ,Pima,L129073,"Saguaro NP--East--Rincon Mountains Unit  (Historical, please do not use for current lists)",32.180752,-110.719749,2019-04-05,09:37 AM,eBird - Traveling Count,240,1,12.07,,1
