Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S37996609,Canada Goose,Branta canadensis,324,40,US-MA,Berkshire,L207427,Canoe Meadows Wildlife Sanctuary (Mass Audubon),42.4303016,-73.2367135,2017-07-06,05:19 AM,eBird - Traveling Count,120,1,4.828,,1
S37966046,Canada Goose,Branta canadensis,324,15,US-MA,Berkshire,L3807548,October Mountain SF--Washington Mtn. Marsh,42.3579731,-73.1970415,2017-07-04,11:30 AM,eBird - Traveling Count,75,1,3.219,,2
S116892691,Canada Goose,Branta canadensis,324,12,US-NH,Carroll,L20542978,Gus’s Lodge,43.630753,-71.316984,2022-08-05,08:07 AM,eBird - Casual Observation,,0,,,1
S78018230,Canada Goose,Branta canadensis,324,60,US-TN,Carter,L482506,Cherokee NF--Wilbur Lake,36.3400154,-82.1165926,2020-12-26,11:54 AM,eBird - Traveling Count,88,1,3.219,,2
S81996007,Canada Goose,Branta canadensis,324,25,US-MD,Cecil,L13773346,"I-95 N, Elkton US-MD 39.64164, -75.90132",39.641642,-75.901324,2021-02-20,10:48 AM,eBird - Casual Observation,,0,,,1
S134543270,Canada Goose,Branta canadensis,324,24,US-VA,Charles City,L701693,VCU Rice Center,37.3257869,-77.2053346,2023-04-21,06:20 PM,eBird - Traveling Count,120,1,1.207,,1,,,Paddling Kimages Creek to check the PROW nest boxes.
S41930506,Canada Goose,Branta canadensis,324,150,US-VA,Chesterfield,L207180,Dutch Gap Conservation Area/Henricus Historical Park,37.3745951,-77.3628956,2018-01-15,08:29 AM,eBird - Traveling Count,150,1,4.828,,3
S95497311,Canada Goose,Branta canadensis,324,7,US-VA,Chesterfield,L207180,Dutch Gap Conservation Area/Henricus Historical Park,37.3745951,-77.3628956,2021-10-02,02:11 PM,eBird - Traveling Count,130,1,5.633,,2
S50839296,Canada Goose,Branta canadensis,324,24,US-AZ,Coconino,L1833473,Frances Short Pond,35.2060045,-111.6545839,2018-12-21,07:33 AM,eBird - Traveling Count,70,1,1.609,,1
S52831078,Canada Goose,Branta canadensis,324,4,US-VA,Culpeper,L8639296,"James Monroe Hwy, Culpeper US-VA (38.4560,-78.0334)",38.456048,-78.033437,2019-02-17,02:18 PM,eBird - Casual Observation,,0,,,1
S32916547,Canada Goose,Branta canadensis,324,X,US-NC,Dare,L190286,Pea Island NWR,35.66591,-75.4799,2015-06-19,08:00 AM,eBird - Traveling Count,165,1,3.219,,2
S38263326,Canada Goose,Branta canadensis,324,23,US-VA,Hampton,L604728,Fort Monroe,37.0039407,-76.3073874,2017-07-22,10:26 AM,eBird - Traveling Count,120,1,.322,,1
S32620520,Canada Goose,Branta canadensis,324,8,US-VA,Hampton,L718480,Grandview Nature Preserve,37.0869534,-76.2774324,2016-11-19,07:10 AM,eBird - Traveling Count,360,1,8.851,,1
S32833209,Canada Goose,Branta canadensis,324,X,US-VA,Hampton,L718480,Grandview Nature Preserve,37.0869534,-76.2774324,2016-12-03,08:30 AM,eBird - Traveling Count,150,1,5.633,,1
S41772498,Canada Goose,Branta canadensis,324,X,US-VA,Hampton,L718480,Grandview Nature Preserve,37.0869534,-76.2774324,2018-01-09,08:33 AM,eBird - Traveling Count,270,1,6.437,,1
S44555203,Canada Goose,Branta canadensis,324,5,US-VA,Hampton,L718480,Grandview Nature Preserve,37.0869534,-76.2774324,2018-04-14,07:13 AM,eBird - Traveling Count,150,1,3.219,,1
S138002642,Canada Goose,Branta canadensis,324,5,US-VA,Hampton,L718480,Grandview Nature Preserve,37.0869534,-76.2774324,2023-05-16,08:35 AM,eBird - Traveling Count,280,1,4.023,,3,,,Paddled from the Fox Hill boat ramp around and up the Back River a bit before landing on the sand at the end of the preserve and exploring the rock jetties and coves by foot.
S22773574,Canada Goose,Branta canadensis,324,4,US-VA,Hampton,L718718,Sandy Bottom Nature Park,37.0645778,-76.4292026,2015-04-09,01:00 PM,eBird - Traveling Count,120,1,4.023,,1
S29505051,Canada Goose,Branta canadensis,324,2,US-VA,Hampton,L718718,Sandy Bottom Nature Park,37.0645778,-76.4292026,2016-05-08,03:30 PM,eBird - Traveling Count,90,1,4.828,,1,,,"Birding was secondary to the walk I was on, but I did have my camera and bins as a matter of course."
S29631308,Canada Goose,Branta canadensis,324,14,US-VA,Hampton,L718718,Sandy Bottom Nature Park,37.0645778,-76.4292026,2016-05-14,06:15 AM,eBird - Traveling Count,180,1,4.828,,1,,,"<br />Submitted from eBird for iOS, version 1.2.0 Build 62"
S36744115,Canada Goose,Branta canadensis,324,19,US-VA,Hampton,L718718,Sandy Bottom Nature Park,37.0645778,-76.4292026,2017-05-11,04:07 PM,eBird - Traveling Count,110,1,3.541,,1
S36844530,Canada Goose,Branta canadensis,324,6,US-VA,Hampton,L718718,Sandy Bottom Nature Park,37.0645778,-76.4292026,2017-05-14,11:34 AM,eBird - Traveling Count,120,1,5.633,,2
S44079737,Canada Goose,Branta canadensis,324,3,US-VA,Hampton,L718718,Sandy Bottom Nature Park,37.0645778,-76.4292026,2018-03-29,05:06 PM,eBird - Traveling Count,80,1,2.414,,1
S136632880,Canada Goose,Branta canadensis,324,5,US-VA,Henrico,L418431,Deep Bottom Park,37.4102042,-77.305727,2023-05-08,06:24 AM,eBird - Traveling Count,275,1,3.219,,2,,,"PROW nest box check, paddling up and back down Four Mile Creek."
S137080970,Canada Goose,Branta canadensis,324,4,US-VA,Henrico,L24224638,Fourmile Creek,37.412057,-77.298551,2023-05-11,07:20 AM,eBird - Traveling Count,1,1,4.023,,4
S138310296,Canada Goose,Branta canadensis,324,2,US-VA,Henrico,L24224638,Fourmile Creek,37.412057,-77.298551,2023-05-18,01:20 PM,eBird - Traveling Count,210,1,3.219,,2
S51532441,Canada Goose,Branta canadensis,324,4,US-NJ,Hunterdon,L8403747,Lambertville,40.36552,-74.945099,2018-07-30,10:33 AM,eBird - Casual Observation,,0,,,1
S45858856,Canada Goose,Branta canadensis,324,1,US-VA,James City,L718829,York River State Park,37.414,-76.7147,2018-05-20,08:07 AM,eBird - Traveling Count,207,1,5.472,,2
S47542461,Canada Goose,Branta canadensis,324,12,US-RI,Kent,L7768625,"Goddard Memorial State Park, Warwick US-RI (41.6652,-71.4350)",41.665232,-71.434977,2018-07-28,11:11 AM,eBird - Casual Observation,,0,,,1
S50928154,Canada Goose,Branta canadensis,324,25,US-AZ,Maricopa,L6686511,Vista del Camino Park--north end,33.4608582,-111.9148493,2018-12-23,02:06 PM,eBird - Traveling Count,10,1,.402,,1
S32396853,Canada Goose,Branta canadensis,324,7,US-TX,Midland,L981552,I-20 Pond/Jenna Welch Nature Ctr. (FWTX 55),31.9630947,-102.1210903,2016-04-09,07:30 AM,eBird - Traveling Count,180,1,4.023,,1
S41263160,Canada Goose,Branta canadensis,324,X,US-DE,New Castle,L6596764,"DE-1 N, Smyrna US-DE (39.3426,-75.6397)",39.342588,-75.63973,2017-12-23,08:36 AM,eBird - Casual Observation,,0,,,1
S106454138,Canada Goose,Branta canadensis,324,3,US-VA,Newport News,L18403292,"1423–1467 Hampton Dr, Newport News US-VA (36.9852,-76.3990)",36.985178,-76.398982,2022-04-07,09:32 AM,eBird - Stationary Count,2,1,,,1
S52021449,Canada Goose,Branta canadensis,324,25,US-VA,Newport News,L8491095,"245 Chesapeake Ave, Newport News US-VA (36.9863,-76.3923)",36.986328,-76.392327,2019-01-25,10:58 AM,eBird - Traveling Count,22,1,.161,,1
S96266133,Canada Goose,Branta canadensis,324,2,US-VA,Newport News,L11318073,"300 Piez Ave, Newport News US-VA 37.03214, -76.46157",37.032142,-76.461565,2021-10-17,07:25 AM,eBird - Stationary Count,60,1,,,1,,,"Between the leaf gall-affected beech in the rear, and the large, old pin oak and sweet gum out front, lots of action today again."
